,i_roc,p_roc,p_pro,i_f1,p_f1,r_f1
goodsad-cigarette_box,48.98,80.38,0.00,73.65,19.09,0.00
goodsad-drink_bottle,53.77,79.81,0.00,70.60,5.23,0.00
goodsad-drink_can,56.78,84.67,0.00,66.51,14.20,0.00
goodsad-food_bottle,57.74,89.74,0.00,75.52,16.99,0.00
goodsad-food_box,57.77,81.37,0.00,78.37,6.18,0.00
goodsad-food_package,51.78,87.81,0.00,64.96,6.37,0.00
