,i_roc,p_roc,p_pro,i_f1,p_f1,r_f1
goodsad-cigarette_box,48.87,81.97,0.00,73.80,20.10,0.00
goodsad-drink_bottle,54.03,80.59,0.00,70.54,5.28,0.00
goodsad-drink_can,57.04,85.70,0.00,66.67,15.40,0.00
goodsad-food_bottle,58.09,89.72,0.00,75.16,16.70,0.00
goodsad-food_box,57.64,81.46,0.00,78.43,6.29,0.00
goodsad-food_package,53.28,88.38,0.00,64.86,5.21,0.00
