,i_roc,p_roc,p_pro,i_f1,p_f1,r_f1
goodsad-cigarette_box,49.48,80.84,0.00,73.21,19.25,0.00
goodsad-drink_bottle,54.56,81.55,0.00,70.60,5.53,0.00
goodsad-drink_can,58.80,86.60,0.00,67.13,15.37,0.00
goodsad-food_bottle,58.97,89.97,0.00,75.95,16.25,0.00
goodsad-food_box,57.57,82.09,0.00,78.23,6.44,0.00
goodsad-food_package,53.74,89.39,0.00,64.57,5.44,0.00
