,i_roc,p_roc,p_pro,i_f1,p_f1,r_f1
goodsad-cigarette_box,50.95,76.98,0.00,73.00,18.77,0.00
goodsad-drink_bottle,52.16,73.05,0.00,70.60,4.46,0.00
goodsad-drink_can,53.19,67.84,0.00,66.82,12.31,0.00
goodsad-food_bottle,57.81,88.34,0.00,75.18,19.65,0.00
goodsad-food_box,54.72,78.88,0.00,77.47,8.11,0.00
goodsad-food_package,51.75,85.41,0.00,64.88,6.80,0.00
